Pos Pengungsian,Lokasi,Latitude,Longitude,Kabupaten,Kecamatan,Desa
Masjid Istiqamah Kp.landuh/benua raja,Aceh Tamiang - Rantau,4.3325,98.061,Aceh Tamiang,Karang Baru,Kebun Medang Ara
Masjid Nurul Iman - Bukit Suling,Aceh Tamiang - Rantau,4.3325,98.061,Aceh Tamiang,Karang Baru,Kebun Medang Ara
Mesjid At-Taqwa Rantau,Aceh Tamiang - Rantau,4.3325,98.061,Aceh Tamiang,Karang Baru,Kebun Medang Ara
"Mesjid Beteng, Desa Marlempang",Aceh Tamiang - Bendahara,4.4,98.15,Aceh Tamiang,Bendahara,Perkebunan Sungai Iyu
Mesjid dan Tk pulau 3,Aceh Tamiang - Tamiang Hulu,4.185,97.98,Aceh Tamiang,Kejuruan Muda,Alur Selebu
Mesjid Darussalam Simpang 4,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
Mesjid kebun medang ara,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
Mesjid Kp Dalam,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
"Mesjid SPBU DUA DARA, seuneubok baro",Aceh Tamiang - Manyak Payed,4.35,98.08,Aceh Tamiang,Karang Baru,Alur Bemban
Mesjid Taqwa Kuala Simpang (Samping GK Kupi),Aceh Tamiang - Kota Kuala Simpang,4.281,98.062,Aceh Tamiang,Kota Kualasinpang,Perdamaian
Mesra Lorong 1 dusun barang meuku,Aceh Tamiang - Manyak Payed,4.35,98.08,Aceh Tamiang,Karang Baru,Alur Bemban
Meunasah Sp 3,Aceh Tamiang - Manyak Payed,4.35,98.08,Aceh Tamiang,Karang Baru,Alur Bemban
Pajak hongkong,Aceh Tamiang - Kuala Simpang,4.281,98.062,Aceh Tamiang,Kota Kualasinpang,Perdamaian
Palang Merah Gg Jati bagian atas (bukit palang merah),Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
Perumahan dekat RSUD,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
Pesantren At thayyib (ex gudang DR) kp. Durian,Aceh Tamiang - Rantau,4.3325,98.061,Aceh Tamiang,Karang Baru,Kebun Medang Ara
Pesantren menanggni,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
Peternakan ayam dekat rel arah ke tupah atas,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
Petojo (bekas pabrik es) tanjung karang,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
PKS tanah terban (dipabrik nya) - 100 KK,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
Pondok sopin bagian atas karang jadi,Aceh Tamiang - Tenggulun,4.085,97.95,Aceh Tamiang,Tenggulun,Selamat
Puskesmas Karang Baru,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
"RANTAU BINTANG (dekat SD), kec. BANDAR PUSAKA",Aceh Tamiang - Bandar Pusaka,4.15,97.9,Aceh Tamiang,Tamiang Hulu,Kaloy
Rel PKS Tj. Sementok (Rumah Tengku muksal),Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
RUKO DEPAN KODIM KARANG BARU SAMPING PEGADAIAN,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
Ruko samping Kopi PB gaming It.2 (sblm gang mawaddah),Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
Ruko sekitaran kp.landuh,Aceh Tamiang - Rantau,4.3325,98.061,Aceh Tamiang,Karang Baru,Kebun Medang Ara
"Rumah Pak lili tingkat 3, Dusun mesjid, Tanjung karang",Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
SD depan istana karang baru,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
SMK 1 Kota lintang,Aceh Tamiang - Kota Kuala Simpang,4.281,98.062,Aceh Tamiang,Kota Kualasinpang,Perdamaian
SUKA JADI PAYA BUJOK,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
Taman RSUD aceh tamiang,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
TK Tahfiz Quran Jamalul Arafah (Seputaran kantor PLN Ranting guys Sulum),Aceh Tamiang - Bandar Pusaka,4.15,97.9,Aceh Tamiang,Tamiang Hulu,Kaloy
Tualang cut,Aceh Tamiang - Manyak Payed,4.35,98.08,Aceh Tamiang,Karang Baru,Alur Bemban
Tupah,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
Ujung lorong gang mawaddah rumah lantai 3,Aceh Tamiang - Karang Baru,4.303,98.0525,Aceh Tamiang,Karang Baru,Tanah Terban
"Balee Dusun Seuneuddon,",Aceh Utara - Seuneuddon,5.08,97.45,Aceh Utara,T. Jambo Aye,Biram Rayeuk
"Meunasah dan Masjid Kec. Tanah Jambo Aye,",Aceh Utara - Tanah Jambo Aye,5.1,97.48,Aceh Timur,Pante Bidari,Putoh Sa
"SMS 1 Seunedon,",Aceh Utara - Seuneuddon,5.08,97.45,Aceh Utara,T. Jambo Aye,Biram Rayeuk
Aula Kantor Desa (Pasar Simpang Tiga),Bener Meriah - Bukit,4.72,96.85,Bener Meriah,Bukit,Bale Atu
Aula Kantor Desa Karang Rejo (Jamur Ujung),Bener Meriah - Wih Pesam,4.7,96.8,Bener Meriah,Wih Pesam,Suka Jadi
Aula Setdakab (Serule Kayu),Bener Meriah - Bukit,4.72,96.85,Bener Meriah,Bukit,Bale Atu
Dayah Dusun Suka Mulia (Syura Jadi),Bener Meriah - Wih Pesam,4.7,96.8,Bener Meriah,Wih Pesam,Suka Jadi
"Depan Rumah Warga di Muyang Kute Mangkung, SD 2 Puja Mulia",Bener Meriah - Bandar,4.73,96.83,Bener Meriah,Wih Pesam,Wih Pesam
Dusun Intan (Lampahan),Bener Meriah - Timang Gajah,4.65,96.75,Aceh Tengah,Silih Nara,Wihni Durin
Gedung BUMK Pulo Intan (Pulo Intan),Bener Meriah - Pintu Rime Gayo,4.6,96.7,Aceh Tengah,Celala,Makmur
Gedung Serba Guna (Gegerung),Bener Meriah - Wih Pesam,4.7,96.8,Bener Meriah,Wih Pesam,Suka Jadi
Gedung Serbaguna (Karang Rejo),Bener Meriah - Bukit,4.72,96.85,Bener Meriah,Bukit,Bale Atu
Jalan Kampung Kepies,Bener Meriah - Permata,4.85,96.95,Bener Meriah,Permata,Penosan Jaya
Kampung Baru 76 (Lampahan),Bener Meriah - Timang Gajah,4.65,96.75,Aceh Tengah,Silih Nara,Wihni Durin
Kampung Karang Jadi (Lampahan),Bener Meriah - Timang Gajah,4.65,96.75,Aceh Tengah,Silih Nara,Wihni Durin
Kantor Desa di Pondok Sayur,Bener Meriah - Bukit,4.72,96.85,Bener Meriah,Bukit,Bale Atu
Kantor Desa Rembele,Bener Meriah - Bukit,4.72,96.85,Bener Meriah,Bukit,Bale Atu
Kantor Desa Ujung Gele,Bener Meriah - Bukit,4.72,96.85,Bener Meriah,Bukit,Bale Atu
Kantor Koperasi Aisyara (Suka Ramai Bawah),Bener Meriah - Wih Pesam,4.7,96.8,Bener Meriah,Wih Pesam,Suka Jadi
Masjid Balee Redelong,Bener Meriah - Bukit,4.72,96.85,Bener Meriah,Bukit,Bale Atu
Masjid Baru (Seni Antara),Bener Meriah - Permata,4.85,96.95,Bener Meriah,Permata,Penosan Jaya
Pantan Kemuning (Tunyang),Bener Meriah - Timang Gajah,4.65,96.75,Aceh Tengah,Silih Nara,Wihni Durin
Pasar Lampahan Timur (Lampahan Timur),Bener Meriah - Timang Gajah,4.65,96.75,Aceh Tengah,Silih Nara,Wihni Durin
Pintu Gerbang PI (Panji Mulia Satu),Bener Meriah - Bukit,4.72,96.85,Bener Meriah,Bukit,Bale Atu
Polindes Dusun Tebang Baru (Rimba Raya),Bener Meriah - Pintu Rime Gayo,4.6,96.7,Aceh Tengah,Celala,Makmur
Polindes Rime Raya,Bener Meriah - Pintu Rime Gayo,4.6,96.7,Aceh Tengah,Celala,Makmur
Polindes Seni Antara (Burni Pase),Bener Meriah - Permata,4.85,96.95,Bener Meriah,Permata,Penosan Jaya
Posko Utama (Serule Kayu),Bener Meriah - Bukit,4.72,96.85,Bener Meriah,Bukit,Bale Atu
Puskesmas Lama Teritit (Simpang Teritit),Bener Meriah - Wih Pesam,4.7,96.8,Bener Meriah,Wih Pesam,Suka Jadi
Rumah Kepala Dusun (Mupakat Jadi),Bener Meriah - Bukit,4.72,96.85,Bener Meriah,Bukit,Bale Atu
Rumah Pak Dusun Setie,Bener Meriah - Timang Gajah,4.65,96.75,Aceh Tengah,Silih Nara,Wihni Durin
Rumah Pak Reje Dusun 5 (Sumber Jaya),Bener Meriah - Timang Gajah,4.65,96.75,Aceh Tengah,Silih Nara,Wihni Durin
Rumah Reje (Tunyang),Bener Meriah - Timang Gajah,4.65,96.75,Aceh Tengah,Silih Nara,Wihni Durin
Rumah Warga di Bukit Pepani,Bener Meriah - Wih Pesam,4.7,96.8,Bener Meriah,Wih Pesam,Suka Jadi
Rumah Warga di Gelampang Wih Tenang Uken,Bener Meriah - Permata,4.85,96.95,Bener Meriah,Permata,Penosan Jaya
Rumah Warga di Mutiara Baru,Bener Meriah - Bukit,4.72,96.85,Bener Meriah,Bukit,Bale Atu
Rumah Warga di Uning Bersah,Bener Meriah - Bukit,4.72,96.85,Bener Meriah,Bukit,Bale Atu
SD 2 Jamur Ujung,Bener Meriah - Wih Pesam,4.7,96.8,Bener Meriah,Wih Pesam,Suka Jadi
SD Cemparam Jaya,Bener Meriah - Mesidah,4.8,96.9,Bener Meriah,Permata,Bener Pepanyi
SD Uning Baro (Meriah Jaya),Bener Meriah - Gajah Putih,4.68,96.78,Aceh Tengah,Kute Panang,Kute Panang
SDN 2 Lampahan (Lampahan),Bener Meriah - Timang Gajah,4.65,96.75,Aceh Tengah,Silih Nara,Wihni Durin
Simpang Rahmat Menasah (Dusun Tiga),Bener Meriah - Gajah Putih,4.68,96.78,Aceh Tengah,Kute Panang,Kute Panang
SMP 2 Wih Pesam,Bener Meriah - Wih Pesam,4.7,96.8,Bener Meriah,Wih Pesam,Suka Jadi
Toko Milik M. Yusuf (Burni Pase),Bener Meriah - Permata,4.85,96.95,Bener Meriah,Permata,Penosan Jaya
TPA Mesjid Uning Teritit,Bener Meriah - Bukit,4.72,96.85,Bener Meriah,Bukit,Bale Atu
Balai Latihan Kerja,Gayo Lues - Blangkejeren,3.98,97.33,Gayo Lues,Blangkejeren,Porang
Bale Musara,Gayo Lues - Blangkejeren,3.98,97.33,Gayo Lues,Blangkejeren,Porang
Kantor Camat Terangun,Gayo Lues - Terangun,3.9,97.2,Gayo Lues,Kutapanjang,Beranang
Menasah Indrapuri,Gayo Lues - Blangkejeren,3.98,97.33,Gayo Lues,Blangkejeren,Porang
Puskesmas Kota,Gayo Lues - Blangkejeren,3.98,97.33,Gayo Lues,Blangkejeren,Porang
Remukut,Gayo Lues - Pantan Cuaca,3.95,97.15,Gayo Lues,Blangjerango,Tingkem
SD Negeri Blangtegulun,Gayo Lues - Blangkejeren,3.98,97.33,Gayo Lues,Blangkejeren,Porang
SDN Blangtegulun,Gayo Lues - Blangkejeren,3.98,97.33,Gayo Lues,Blangkejeren,Porang
Tetingi,Gayo Lues - Blangpegayon,4,97.35,Gayo Lues,Blangkejeren,Bacang
Kantor BPBD Sabang,Kota Sabang - Sukajaya,5.86,95.34,Kota Sabang,Sukajaya,Cot Abeuk
Desa Blang Meurandeh,Nagan Raya - Beutong Ateuh,4.45,96.45,Aceh Barat,Pante Ceureumen,Sikundo
Desa Gampong Gunong,Nagan Raya - Darul Makmur,4.05,96.55,Nagan Raya,Darul Makmur,Suak Palembang
Desa Kuta Trieng,Nagan Raya - Darul Makmur,4.05,96.55,Nagan Raya,Darul Makmur,Suak Palembang
Desa Lamie,Nagan Raya - Darul Makmur,4.05,96.55,Nagan Raya,Darul Makmur,Suak Palembang
Desa Tuwi Buya,Nagan Raya - Darul Makmur,4.05,96.55,Nagan Raya,Darul Makmur,Suak Palembang
Kantor dinas sosial pidie jaya,Pidie Jaya - Meureudu,5.24,96.25,Pidie Jaya,Meureudu,Meunasah Lhok
Musholla Surau Tabek,Kota Solok - Lubuk Sikarah,5.03,97.31,Aceh Utara,Lhoksukon,Meunasah Asan LB
