Pos Pengungsian,Lokasi,Latitude,Longitude,Kabupaten,Kecamatan,Desa
Mushalla Baitul Makmur Kel. Ktk,Kota Solok - Lubuk Sikarah,-0.79,100.65,Kota Solok,Lubuk Sikarah,Vi Suku
Mushalla Sabilillah Kel. Tanah Garam,Kota Solok - Lubuk Sikarah,-0.79,100.65,Kota Solok,Lubuk Sikarah,Vi Suku
SD Payo Kel. Tanah Garam,Kota Solok - Lubuk Sikarah,-0.79,100.65,Kota Solok,Lubuk Sikarah,Vi Suku
SMP 4 Kel. Sinapa Piliang,Kota Solok - Lubuk Sikarah,-0.79,100.65,Kota Solok,Lubuk Sikarah,Vi Suku
Taman Kota Kalumpang Kel. VI Suku,Kota Solok - Lubuk Sikarah,-0.79,100.65,Kota Solok,Lubuk Sikarah,Vi Suku
Dirumah warga yang tidak terdampak banjir,Padang Pariaman - Ulakan Tapakis,-0.7,100.25,Padang Pariaman,Ulakan Tapakih,Tapakih
Halaman Mushala surau kalapaian Pasar Kampuang Galapuang Ulakan,Padang Pariaman - Ulakan Tapakis,-0.7,100.25,Padang Pariaman,Ulakan Tapakih,Tapakih
Kabun Bungo Pasang,Padang Pariaman - Ulakan Tapakis,-0.7,100.25,Padang Pariaman,Ulakan Tapakih,Tapakih
Kampuang Koto,Padang Pariaman - Ulakan Tapakis,-0.7,100.25,Padang Pariaman,Ulakan Tapakih,Tapakih
Korong Sungai Pinang,Padang Pariaman - Batang Anai,-0.8,100.3,Padang Pariaman,Batang Anai,Kasang
"Korong Sungai Pinang, Perumahan Abi",Padang Pariaman - Batang Anai,-0.7,100.25,Padang Pariaman,Ulakan Tapakih,Tapakih
Nagari Kampuang Galapuang Ulakan,Padang Pariaman - Ulakan Tapakis,-0.7,100.25,Padang Pariaman,Ulakan Tapakih,Tapakih
Nagari Kasang Kec. Batang Anai,Padang Pariaman - Batang Anai,-0.8,100.3,Padang Pariaman,Batang Anai,Kasang
Nagari Ulakan,Padang Pariaman - Ulakan Tapakis,-0.7,100.25,Padang Pariaman,Ulakan Tapakih,Tapakih
Padang Pauh,Padang Pariaman - Ulakan Tapakis,-0.7,100.25,Padang Pariaman,Ulakan Tapakih,Tapakih
Pasa rumah An. Vera,Padang Pariaman - Ulakan Tapakis,-0.7,100.25,Padang Pariaman,Ulakan Tapakih,Tapakih
Posko di Korong Padang Lapai,Padang Pariaman - 2X11 Kayu Tanam,-0.66,100.18,Padang Pariaman,Nan Sabaris,Sunua
Posko Masjid Nurul Huda Korong Rimbo Kalam,Padang Pariaman - 2X11 Kayu Tanam,-0.66,100.18,Padang Pariaman,Nan Sabaris,Sunua
Posko Masjid Taqwa Banda dan Surau Katimaha Nagari Anduring,Padang Pariaman - 2X11 Kayu Tanam,-0.66,100.18,Padang Pariaman,Nan Sabaris,Sunua
Surau Palak Pisang,Padang Pariaman - Ulakan Tapakis,-0.7,100.25,Padang Pariaman,Ulakan Tapakih,Tapakih
Surau Parik,Padang Pariaman - Ulakan Tapakis,-0.7,100.25,Padang Pariaman,Ulakan Tapakih,Tapakih
TPA Mesjid Mujahiddin Korong Kasai,Padang Pariaman - Batang Anai,-0.8,100.3,Padang Pariaman,Batang Anai,Kasang
Posko Muaro Pingai,Solok - Junjung Sirih,-0.65,100.58,Solok,X Koto Singkarak,Kacang
SD 11 Paninggahan,Solok - Paninggahan,-0.62,100.55,Tanah Datar,Rambatan,Simawang
